scene_name,name,error
16,1962,1
16,1964,1
16,1971,1
16,1979,1
16,1981,1
16,1990,1
16,1991,1
16,1994,1
16,1995,1
16,2001,1
16,2006,1
16,2008,1
16,2010,1
16,2012,1
16,2013,1
16,2017,1
16,2019,1
16,2020,1
16,2025,1
16,2027,1
16,2028,1
16,2031,1
16,2032,1
16,2037,1
16,2038,1
16,2043,1
16,2252,3
16,2253,3
16,2254,3
16,2255,3
16,2256,3
16,2257,3
16,2258,3
16,2259,3
16,2260,3
16,2261,3
16,2262,3
16,2263,3
16,2264,3
16,2265,3
16,2266,3
16,2267,3
16,2268,3
16,2269,3
16,2270,3
16,2271,3
16,2272,3
16,2273,3
16,2274,3
16,2275,3
16,2276,3
16,2277,3
16,2278,3
16,2279,3
16,2280,3
16,2281,3
16,2282,3
16,2283,3
16,2284,3
16,2285,3
16,2286,3
16,2287,3
16,2288,3
16,2289,3
16,2290,3
16,2291,3
16,2292,3
16,2293,3
16,2294,3
16,2295,3
16,2296,3
16,2297,3
16,2298,3
16,2299,3
16,2300,3
16,2301,3
16,2302,3
16,2303,3
16,2304,3
16,2305,3
16,2306,3
16,2307,3
16,2308,3
16,2309,3
16,2310,3
16,2311,3
16,2312,3
16,2313,3
16,2314,3
16,2315,3
16,2316,3
16,2317,3
16,2318,3
16,2319,3
16,2320,3
16,2321,3
16,2322,3
16,2323,3
16,2324,3
16,2325,3
16,2326,3
16,2327,3
16,2328,3
16,2329,3
16,2330,3
16,2331,3
16,2332,3
16,2333,3
16,2334,3
16,2335,3
16,2336,3
16,2337,3
16,2338,3
16,2339,3
16,2340,3
16,2341,3
16,2342,3
16,2343,3
16,2344,3
16,2345,3
16,2346,3
16,2347,3
16,2348,3
16,2349,3
16,2350,3
16,2351,3
16,2352,3
16,2353,3
16,2354,3
16,2355,3
16,2356,3
16,2357,3
16,2358,3
16,2359,3
16,2360,3
16,2361,3
16,2362,3
16,2363,3
16,2364,3
16,2365,3
16,2366,3
16,2367,3
16,2368,3
16,2369,3
16,2370,3
16,2371,3
16,2372,3
16,2373,3
16,2374,3
16,2375,3
16,2376,3
16,2377,3
16,2379,3
16,2380,3
21,6,4
1,620,3
11,0,3
